,ibns_20u,vgs_m1,name,type,time,OK
0,20.51042,0.7579687,tran_LayGtKfsTlVt,Lay,Sun Oct 27 13:16:50 2024,False
1,20.7034,0.685388,tran_LayGtKsfTlVt,Lay,Sun Oct 27 13:16:49 2024,True
2,20.68141,0.6953347,tran_LayGtKffTlVt,Lay,Sun Oct 27 13:16:48 2024,True
3,20.53269,0.7480513,tran_LayGtKssTlVt,Lay,Sun Oct 27 13:16:47 2024,False
4,20.56713,0.6838284,tran_LayGtKfsThVt,Lay,Sun Oct 27 13:16:45 2024,True
5,20.75519,0.6037314,tran_LayGtKsfThVt,Lay,Sun Oct 27 13:16:44 2024,True
6,20.73626,0.61373,tran_LayGtKffThVt,Lay,Sun Oct 27 13:16:43 2024,True
7,20.58731,0.6738161,tran_LayGtKssThVt,Lay,Sun Oct 27 13:16:42 2024,True
